Province,Latitude,Longitude
จังหวัดอำนาจเจริญ,15.677,104.6513
จังหวัดอำนาจเจริญ,15.6759,104.6501
จังหวัดอำนาจเจริญ,15.6843,104.6452
จังหวัดอำนาจเจริญ,15.685,104.6433
จังหวัดอำนาจเจริญ,15.6836,104.6417
จังหวัดอำนาจเจริญ,15.6871,104.6384
จังหวัดอำนาจเจริญ,15.6855,104.6368
จังหวัดอำนาจเจริญ,15.6873,104.6345
จังหวัดอำนาจเจริญ,15.6872,104.6276
จังหวัดอำนาจเจริญ,15.6853,104.6226
จังหวัดอำนาจเจริญ,15.6767,104.6075
จังหวัดอำนาจเจริญ,15.6741,104.6042
จังหวัดอำนาจเจริญ,15.6715,104.6037
จังหวัดอำนาจเจริญ,15.666,104.6068
จังหวัดอำนาจเจริญ,15.6617,104.6142
จังหวัดอำนาจเจริญ,15.6602,104.6244
จังหวัดอำนาจเจริญ,15.6622,104.6286
จังหวัดอำนาจเจริญ,15.6614,104.6319
จังหวัดอำนาจเจริญ,15.6454,104.6403
จังหวัดอำนาจเจริญ,15.642,104.6335
จังหวัดอำนาจเจริญ,15.6435,104.6307
จังหวัดอำนาจเจริญ,15.6403,104.6262
จังหวัดอำนาจเจริญ,15.6399,104.6201
จังหวัดอำนาจเจริญ,15.6374,104.6171
จังหวัดอำนาจเจริญ,15.6277,104.6138
จังหวัดอำนาจเจริญ,15.6275,104.6174
จังหวัดอำนาจเจริญ,15.622,104.6187
จังหวัดอำนาจเจริญ,15.6184,104.6166
จังหวัดอำนาจเจริญ,15.6176,104.6123
จังหวัดอำนาจเจริญ,15.6111,104.607
จังหวัดอำนาจเจริญ,15.6059,104.587
จังหวัดอ่างทอง,14.7422,100.3837
จังหวัดอ่างทอง,14.7434,100.3942
จังหวัดอ่างทอง,14.7543,100.4081
จังหวัดอ่างทอง,14.7507,100.4146
จังหวัดอ่างทอง,14.7503,100.4263
จังหวัดอ่างทอง,14.7478,100.426
จังหวัดอ่างทอง,14.7466,100.4239
จังหวัดอ่างทอง,14.7474,100.4175
จังหวัดอ่างทอง,14.7403,100.4179
จังหวัดอ่างทอง,14.7365,100.4149
จังหวัดอ่างทอง,14.7333,100.4174
จังหวัดอ่างทอง,14.7264,100.4162
จังหวัดอ่างทอง,14.7246,100.4187
จังหวัดอ่างทอง,14.7263,100.4275
จังหวัดอ่างทอง,14.7262,100.4427
จังหวัดอ่างทอง,14.7207,100.4638
จังหวัดอ่างทอง,14.7142,100.4671
จังหวัดอ่างทอง,14.7147,100.4698
จังหวัดอ่างทอง,14.7077,100.4705
จังหวัดอ่างทอง,14.7056,100.4748
จังหวัดอ่างทอง,14.7015,100.478
จังหวัดอ่างทอง,14.6958,100.4911
จังหวัดอ่างทอง,14.6972,100.4965
จังหวัดอ่างทอง,14.6876,100.5012
จังหวัดอ่างทอง,14.6846,100.5044
จังหวัดอ่างทอง,14.68,100.5043
จังหวัดอ่างทอง,14.6797,100.5167
จังหวัดอ่างทอง,14.6741,100.5153
จังหวัดอ่างทอง,14.6742,100.5105
จังหวัดอ่างทอง,14.673,100.511
จังหวัดอ่างทอง,14.6719,100.5074
จังหวัดอ่างทอง,14.6686,100.5079
จังหวัดอ่างทอง,14.6585,100.5047
จังหวัดอ่างทอง,14.6562,100.4995
จังหวัดอ่างทอง,14.6529,100.4982
จังหวัดอ่างทอง,14.6458,100.5025
จังหวัดอ่างทอง,14.6399,100.5014
จังหวัดอ่างทอง,14.6366,100.5026
จังหวัดอ่างทอง,14.6338,100.5006
จังหวัดอ่างทอง,14.6288,100.5041
จังหวัดอ่างทอง,14.6245,100.4996
จังหวัดอ่างทอง,14.6177,100.5014
จังหวัดอ่างทอง,14.6108,100.4936
